MacAddress,SensorType,IP,User,Group,Tenant
10:bv:33:ui:98:uh:42:tg,Gas sensor,91.143.199.80,vnp,workplace3,free-m
11:dq:55:hx:31:hw:85:ig,Gas sensor,113.255.49.49,vnp,workplace3,free-m
11:zl:70:cz:52:ez:89:ec,Gas sensor,41.0.181.251,vnp,workplace3,free-m
12:ha:40:mp:14:as:78:ju,Gas sensor,118.97.137.150,vnp,workplace2,free-m
12:wk:37:ow:86:on:29:ux,Gas sensor,41.0.181.251,vnp,workplace3,free-m
12:xh:21:zr:38:rf:28:fe,Gas sensor,203.71.220.140,vnp,workplace2,free-m
12:zt:50:sr:54:pl:54:ka,Gas sensor,85.17.209.180,vnp,workplace1,free-m
13:cc:68:jz:45:rq:27:xm,Gas sensor,118.97.137.150,vnp,workplace2,free-m
13:gq:83:um:81:fg:37:uw,Gas sensor,41.160.223.252,vnp,workplace1,free-m
13:tl:55:hd:73:ah:62:kv,Gas sensor,202.167.248.186,vnp,workplace4,free-m
15:aj:11:ao:13:wl,H2S,41.0.181.251,vnp,workplace_1,free-m
15:ft:46:nv:50:wh:22:vv,Gas sensor,118.97.137.150,vnp,workplace3,free-m
15:nm:67:lk:26:op:29:av,Gas sensor,201.219.181.107,vnp,workplace3,free-m
15:uo:27:nb:76:dc:75:sj,Gas sensor,41.160.223.252,vnp,workplace1,free-m
15:wm:15:gf:13:qm:93:jz,Gas sensor,41.160.223.252,vnp,workplace2,free-m
15:xc:78:ue:37:sx:31:rk,Gas sensor,183.111.169.205,vnp,workplace2,free-m
15:yz:48:qb:38:df:36:ee,Gas sensor,41.0.181.251,vnp,workplace3,free-m
16:uh:37:ng:46:fl:42:ib,Gas sensor,203.71.220.140,vnp,workplace1,free-m
16:uy:68:fg:60:ef:95:kd,Gas sensor,41.0.181.251,vnp,workplace1,free-m
16:vq:31:fq:61:mg:91:bj,Gas sensor,183.111.169.205,vnp,workplace2,free-m
17:cf:19:pb:62:oa:89:mm,Gas sensor,203.71.220.140,vnp,workplace4,free-m
17:qp:49:wa:27:cv:14:xt,Gas sensor,2.139.222.95,vnp,workplace3,free-m
18:kt:32:ic:84:sy,H2S,172.16.115.2,vnp,workplace4,free-m
18:su:53:ad:92:fg:66:yt,Gas sensor,85.17.209.180,vnp,workplace2,free-m
18:yh:24:bm:82:fr:52:js,Gas sensor,41.160.223.252,vnp,workplace3,free-m
19:df:58:ps:50:ws:65:bw,Gas sensor,115.159.5.247,vnp,workplace3,free-m
19:gk:52:hs:61:gp:58:rj,Gas sensor,192.99.54.41,vnp,workplace2,free-m
20:az:28:vq:12:oz,H2S,113.255.49.49,vnp,workplace_1,free-m
20:db:47:ie:95:ky:71:io,Gas sensor,203.71.220.140,vnp,workplace3,free-m
20:ga:92:ny:76:re:60:ga,Gas sensor,41.0.181.251,vnp,workplace3,free-m
20:si:30:kg:24:vi:99:jz,Gas sensor,113.255.49.49,vnp,workplace1,free-m
21:ie:96:wd:72:uu:42:rq,Gas sensor,41.0.181.251,vnp,workplace2,free-m
21:jm:12:bs:88:pv:80:sa,Gas sensor,203.71.220.140,vnp,workplace3,free-m
21:tv:23:nd:61:fg:65:wf,Gas sensor,2.139.222.95,vnp,workplace3,free-m
21:yd:36:jm:72:pa:98:ou,Gas sensor,202.167.248.186,vnp,workplace1,free-m
22:da:65:pn:31:rs:30:vq,Gas sensor,203.71.220.140,vnp,workplace1,free-m
22:la:76:gp:13:di:63:vz,Gas sensor,85.17.209.180,vnp,workplace1,free-m
22:pt:13:qg:47:fd:44:vx,Gas sensor,104.236.220.70,vnp,workplace2,free-m
22:yi:19:pj:49:qq:61:qs,Gas sensor,41.160.223.252,vnp,workplace3,free-m
23:gd:76:tf:58:ou:45:gx,Gas sensor,91.143.199.80,vnp,workplace3,free-m
23:iy:49:gu:88:fi:76:yq,Gas sensor,41.160.223.252,vnp,workplace2,free-m
23:ro:62:px:75:tx:61:xz,Gas sensor,85.17.209.180,vnp,workplace3,free-m
24:kz:74:lz:20:fj:49:ze,Gas sensor,203.71.220.140,vnp,workplace4,free-m
24:um:80:al:71:mh:26:kq,Gas sensor,192.99.54.41,vnp,workplace3,free-m
25:aj:81:pw:34:eu:95:tm,Gas sensor,192.99.54.41,vnp,workplace2,free-m
